location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Afghanistan,2021-02-22,Oxford/AstraZeneca,https://tolonews.com/index.php/health-170225,0,0,
Afghanistan,2021-02-28,Oxford/AstraZeneca,https://tolonews.com/index.php/health-170355,8200,8200,
Afghanistan,2021-03-16,Oxford/AstraZeneca,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,54000,54000,
Afghanistan,2021-04-07,Oxford/AstraZeneca,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm,120000,120000,
Afghanistan,2021-04-22,Oxford/AstraZeneca,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021,240000,240000,
Afghanistan,2021-05-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,504502,448878,55624
Afghanistan,2021-05-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,547901,470341,77560
Afghanistan,2021-05-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,573277,476367,96910
Afghanistan,2021-05-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,590454,479372,111082
Afghanistan,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,593313,479574,113739
Afghanistan,2021-05-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,600152,480226,119926
Afghanistan,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,626290,481690,144600
Afghanistan,2021-06-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,630305,481800,148505
Afghanistan,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",https://covid19.who.int/,641295,482952,158343
Afghanistan,2021-06-14,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,662003,484737,177266
Afghanistan,2021-06-22,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,765890,582128,183762
Afghanistan,2021-06-27,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,835694,649434,186260
Afghanistan,2021-06-30,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.who.int/,886854,699200,187654
