location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Angola,2021-03-01,Oxford/AstraZeneca,https://www.angop.ao/en/noticias/saude/covid-19-mais-de-seis-mil-profissionais-da-saude-vacinados-em-tres-dias/,0,0,
Angola,2021-03-08,Oxford/AstraZeneca,https://www.angop.ao/en/noticias/saude/covid-19-mais-de-seis-mil-profissionais-da-saude-vacinados-em-tres-dias/,6169,6169,
Angola,2021-03-18,Oxford/AstraZeneca,https://reliefweb.int/report/world/africa-s-covid-19-vaccination-gains-pace-nearly-7-million-doses-given,49000,49000,
Angola,2021-03-24,Oxford/AstraZeneca,https://www.angop.ao/en/noticias/saude/covid-19-angola-vacina-mais-de-80-mil-cidadaos/,87022,87022,
Angola,2021-03-29,Oxford/AstraZeneca,https://www.angop.ao/en/noticias/saude/covid-19-angola-com-130.750-pessoas-imunizadas/,130750,130750,
Angola,2021-04-06,Oxford/AstraZeneca,https://africa.cgtn.com/2021/04/06/covid-19-vaccinations-in-angola-surpass-180000-mark/,181578,181578,
Angola,2021-04-11,Oxford/AstraZeneca,https://www.verangola.net/va/en/042021/Health/24932/Luanda-has-South-African-and-English-variants-of-the-coronavirus-in-community-circulation.htm,245442,245442,
Angola,2021-04-19,Oxford/AstraZeneca,https://www.angop.ao/en/noticias/saude/covid-19-angola-com-395.447-pessoas-vacinadas/,395447,395447,
Angola,2021-04-23,Oxford/AstraZeneca,https://www.angop.ao/en/noticias/saude/covid-19-angola-com-456.349-cidadaos-vacinados/,456349,456349,
Angola,2021-05-12,Oxford/AstraZeneca,https://covid19.who.int/,626572,586377,40195
Angola,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,681502,606287,75215
Angola,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,757535,630984,126551
Angola,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,859979,663049,196930
Angola,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,909215,679034,230181
Angola,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,1115919,740289,375630
Angola,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,1222630,774926,447704
Angola,2021-06-15,Oxford/AstraZeneca,https://covid19.who.int/,1314375,822109,492266
Angola,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,1380174,866381,513793
Angola,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,1432699,909119,523580
Angola,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,1488292,943301,544991
