location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Anguilla,2021-02-04,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/photos/pcb.1385492388472000/1385492311805341/,0,0,
Anguilla,2021-02-13,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/posts/1391067271247845,1341,1341,
Anguilla,2021-02-14,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/posts/1395958984092007,2762,2762,
Anguilla,2021-02-26,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/posts/1401018393586066,3929,3929,
Anguilla,2021-03-09,Oxford/AstraZeneca,https://beatcovid19.ai/captacion-de-la-vacunacion-covid-19-el-ministerio-de-salud-pide-para-que-mas-personas-se-vacunen/,4700,4700,
Anguilla,2021-03-13,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/photos/1410852835935955,5000,5000,
Anguilla,2021-03-19,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/posts/1416076468746925,5348,5348,
Anguilla,2021-04-12,Oxford/AstraZeneca,https://beatcovid19.ai/covid-19-update-scheduled-appointments-for-2nd-doses-of-covid-19-vaccine-to-begin-april-12th/,5835,5835,
Anguilla,2021-04-22,Oxford/AstraZeneca,https://www.travelpulse.com/news/impacting-travel/new-covid-19-case-prompts-14-day-anguilla-closure.html,6898,6115,783
Anguilla,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547,13235,8811,4424
Anguilla,2021-05-28,Oxford/AstraZeneca,https://covid19.who.int/,14443,9004,5439
Anguilla,2021-06-04,Oxford/AstraZeneca,https://covid19.who.int/,14557,9044,5513
Anguilla,2021-06-11,Oxford/AstraZeneca,https://covid19.who.int/,14937,9119,5818
Anguilla,2021-06-18,Oxford/AstraZeneca,https://covid19.who.int/,15198,9183,6015
Anguilla,2021-06-25,Oxford/AstraZeneca,https://covid19.who.int/,15789,9264,6525
