location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Bahamas,2021-03-13,Oxford/AstraZeneca,https://ewnews.com/first-jab-nurse-bastian-becomes-first-bahamian-vaccinated-against-covid-19,0,0,0
Bahamas,2021-03-14,Oxford/AstraZeneca,https://ewnews.com/its-not-a-competition-focus-should-remain-on-getting-vaccine-program-right-says-chamber-of-commerce,110,100,0
Bahamas,2021-03-21,Oxford/AstraZeneca,https://opm.gov.bs/new-covid-19-vaccination-sites-to-open-this-week-on-new-providence-and-grand-bahama/,1500,1500,0
Bahamas,2021-03-28,Oxford/AstraZeneca,https://opm.gov.bs/statement-from-the-national-covid-19-vaccine-consultative-committee/,7000,7000,0
Bahamas,2021-04-07,Oxford/AstraZeneca,https://opm.gov.bs/more-priority-groups-and-vaccination-centers-added-to-covid-19-vaccine-roll-out/,10000,10000,0
Bahamas,2021-04-11,Oxford/AstraZeneca,https://opm.gov.bs/covid-19-vaccine-opened-to-persons-50-years-and-over-persons-with-disabilities-restaurant-and-retail-workers/,15000,15000,0
Bahamas,2021-04-20,Oxford/AstraZeneca,https://opm.gov.bs/remarks-national-covid-19-vaccine-consultative-committee-update/,21907,21907,0
Bahamas,2021-04-27,Oxford/AstraZeneca,https://opm.gov.bs/covid-19-vaccinations-now-open-to-18-and-older/,25692,25692,0
Bahamas,2021-05-09,Oxford/AstraZeneca,https://www.facebook.com/opmbs/photos/pcb.809920193063293/809919689730010,36000,36000,0
Bahamas,2021-05-21,Oxford/AstraZeneca,https://www.facebook.com/opmbs/posts/817591312296181,50242,44226,6016
Bahamas,2021-05-29,Oxford/AstraZeneca,https://twitter.com/opmthebahamas/status/1399152380789329922,55037,46378,8659
Bahamas,2021-06-05,Oxford/AstraZeneca,https://www.facebook.com/opmbs/posts/825041384884507,62183,48434,13749
Bahamas,2021-06-11,Oxford/AstraZeneca,https://www.facebook.com/opmbs/photos/a.138602006861785/829026441152668/,68119,50292,17827
Bahamas,2021-06-19,Oxford/AstraZeneca,https://www.facebook.com/opmbs/photos/a.138602006861785/832605630794749/,79246,54199,25047
Bahamas,2021-06-26,Oxford/AstraZeneca,https://www.facebook.com/opmbs/photos/a.138602006861785/836795277042451/,91067,58122,32945
