location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Bangladesh,2021-01-26,Oxford/AstraZeneca,https://www.dhakatribune.com/health/coronavirus/2021/02/01/covid-19-5-vaccine-takers-report-similar-minor-side-effects,0,0,
Bangladesh,2021-01-27,Oxford/AstraZeneca,https://www.dhakatribune.com/health/coronavirus/2021/02/01/covid-19-5-vaccine-takers-report-similar-minor-side-effects,26,26,
Bangladesh,2021-01-28,Oxford/AstraZeneca,https://www.dhakatribune.com/health/coronavirus/2021/02/01/covid-19-5-vaccine-takers-report-similar-minor-side-effects,567,567,
Bangladesh,2021-02-07,Oxford/AstraZeneca,https://bdnews24.com/bangladesh/2021/02/08/bangladesh-administers-31160-doses-on-first-day-of-covid-vaccination-drive,31160,31160,
Bangladesh,2021-02-09,Oxford/AstraZeneca,https://www.dhakatribune.com/bangladesh/2021/02/10/number-of-vaccine-takers-on-the-rise,179318,179318,
Bangladesh,2021-02-10,Oxford/AstraZeneca,https://www.dhakatribune.com/bangladesh/2021/02/10/number-of-vaccine-takers-on-the-rise,337769,337769,
Bangladesh,2021-02-13,Oxford/AstraZeneca,https://www.dhakatribune.com/bangladesh/2021/02/13/nearly-200-000-get-covid-19-vaccine-shots-in-a-day,736680,736680,
Bangladesh,2021-02-14,Oxford/AstraZeneca,https://www.dhakatribune.com/health/coronavirus/2021/02/14/covid-19-vaccination-bangladesh-on-the-right-track,906033,906033,
Bangladesh,2021-02-15,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-15-2-2021.pdf,1132711,1132711,
Bangladesh,2021-02-16,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-16-2-2021.pdf,1359613,1359613,
Bangladesh,2021-02-17,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-17-2-2021.pdf,1586368,1586368,
Bangladesh,2021-02-18,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-18-2-2021.pdf,1848313,1848313,
Bangladesh,2021-02-20,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-20-2-2021.pdf,2082877,2082877,
Bangladesh,2021-02-22,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-22-2-2021.pdf,2308157,2308157,
Bangladesh,2021-02-23,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-23-2-2021.pdf,2491053,2491053,
Bangladesh,2021-02-24,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-24-2-2021.pdf,2673038,2673038,
Bangladesh,2021-02-25,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-25-2-2021.pdf,2850940,2850940,
Bangladesh,2021-02-27,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-27-2-2021.pdf,2984773,2984773,
Bangladesh,2021-02-28,Oxford/AstraZeneca,https://corona.gov.bd/storage/press-releases/February2021/OAb3i7TdP1FbyuEaf5dO.pdf,3110525,3110525,
Bangladesh,2021-03-02,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-2-3-2021.pdf,3341505,3341505,
Bangladesh,2021-03-04,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-4-3-2021.pdf,3581169,3581169,
Bangladesh,2021-03-07,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-7-3-2021.pdf,3682152,3682152,
Bangladesh,2021-03-09,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-9-3-2021.pdf,4013963,4013963,
Bangladesh,2021-03-11,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf,4218127,4218127,
Bangladesh,2021-03-14,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-14-3-2021.pdf,4398094,4398094,
Bangladesh,2021-03-16,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-16-3-2021.pdf,4580391,4580391,
Bangladesh,2021-03-18,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-18-3-2021.pdf,4687824,4687824,
Bangladesh,2021-03-20,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-20-3-2021.pdf,4760747,4760747,
Bangladesh,2021-03-22,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-22-3-2021.pdf,4911902,4911902,
Bangladesh,2021-03-24,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/vpr/Covid-19-Vaccination-Update-24-3-2021.pdf,5069049,5069049,
Bangladesh,2021-03-25,Oxford/AstraZeneca,https://dghs.gov.bd/images/docs/vpr/Covid-19-Vaccination-Update-25-3-2021.pdf,5139456,5139456,
