location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Equatorial Guinea,2021-03-16,Sinopharm/Beijing,https://guineasalud.org/el-comite-tecnico-nacional-de-vigilancia-y-respuesta-a-la-covid-19-informa-sobre-la-situacion-epidemiologica-del-15-de-febrero-al-15-de-marzo-en-guinea-ecuatorial/,6565,5765,800
Equatorial Guinea,2021-03-29,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,12155,9748,2407
Equatorial Guinea,2021-04-01,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,14080,11090,2990
Equatorial Guinea,2021-04-16,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,32884,27579,5305
Equatorial Guinea,2021-04-20,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,45441,38024,7417
Equatorial Guinea,2021-04-22,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,55799,47410,8389
Equatorial Guinea,2021-04-28,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,75518,64646,10872
Equatorial Guinea,2021-05-18,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,175770,130641,45129
Equatorial Guinea,2021-05-22,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,192967,136124,56843
Equatorial Guinea,2021-05-25,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,206625,142475,64150
Equatorial Guinea,2021-05-28,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,219677,148079,71598
Equatorial Guinea,2021-05-31,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,224503,148085,76418
Equatorial Guinea,2021-06-03,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,236189,148579,87610
Equatorial Guinea,2021-06-10,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,247228,148579,98649
Equatorial Guinea,2021-06-12,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,248184,148579,99605
Equatorial Guinea,2021-06-15,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,255030,148579,106451
Equatorial Guinea,2021-06-17,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,257146,148579,108567
Equatorial Guinea,2021-06-23,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,259480,149185,110295
Equatorial Guinea,2021-06-25,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,260528,149185,111343
Equatorial Guinea,2021-06-28,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,264853,150363,114490
Equatorial Guinea,2021-06-30,Sinopharm/Beijing,https://guineasalud.org/estadisticas/,265110,150609,114501
