location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Guyana,2021-02-11,Oxford/AstraZeneca,https://www.stabroeknews.com/2021/02/16/news/guyana/anthony-says-668-health-workers-have-gotten-covid-vaccine/,0,0,
Guyana,2021-02-15,Oxford/AstraZeneca,https://www.stabroeknews.com/2021/02/16/news/guyana/anthony-says-668-health-workers-have-gotten-covid-vaccine/,668,668,
Guyana,2021-02-22,Oxford/AstraZeneca,https://newsroom.gy/2021/02/22/guyana-vaccinates-1852-frontline-workers-to-date-more-vaccines-expected-shortly/,1852,1852,
Guyana,2021-03-19,"Oxford/AstraZeneca, Sputnik V",https://newsroom.gy/2021/03/19/guyana-vaccinates-15-524-against-covid-19-as-immunization-rollout-continues/,15524,15524,
Guyana,2021-03-31,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/photos/a.1505704143066460/2575414036095460/,32714,32714,
Guyana,2021-04-03,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/1505423363094538/posts/2578242045812659/,40468,40468,
Guyana,2021-04-11,"Oxford/AstraZeneca, Sputnik V",https://newsroom.gy/2021/04/12/30000-more-doses-of-russian-sputnik-arrive/,60172,60172,
Guyana,2021-04-15,"Oxford/AstraZeneca, Sputnik V",https://dpi.gov.gy/600-guyanese-fully-vaccinated-against-covid/,73600,73000,600
Guyana,2021-04-23,"Oxford/AstraZeneca, Sputnik V",https://dpi.gov.gy/over-111000-persons-receive-first-covid-vaccines/?fbclid=IwAR1ZbyOZPrKtb9IRe2GwaOSCEtzDh5KvpeaYstkFGCds5uVpZPZqF7m5xhk,113596,111825,1771
Guyana,2021-04-26,"Oxford/AstraZeneca, Sputnik V",https://newsroom.gy/2021/04/27/covid-19-a-quarter-of-guyanas-adult-population-now-vaccinated/,126800,124000,2800
Guyana,2021-05-06,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/,153494,150694,2800
Guyana,2021-05-25,"Oxford/AstraZeneca, Sputnik V",https://dpi.gov.gy/over-187000-persons-receive-first-dose-of-covid-vaccine/,245614,187234,58380
Guyana,2021-06-02,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2616894185280778,274625,203847,70778
Guyana,2021-06-05,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2618926165077580,285247,209835,75412
Guyana,2021-06-09,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/photos/a.1505704143066460/2621232874846909,294053,214251,79802
Guyana,2021-06-11,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/photos/a.1505704143066460/2622549428048587/,300591,216862,83729
Guyana,2021-06-16,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2625908887712641,315816,223659,92157
Guyana,2021-06-21,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2629079967395533,326325,227690,98635
Guyana,2021-06-25,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2631820450454818,335091,230486,104605
Guyana,2021-06-29,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/photos/a.1510541109249430/2634448920191971/,340020,232599,107421
Guyana,2021-06-30,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2635089773461219,341886,233134,108752
Guyana,2021-07-01,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2635793170057546,344466,233756,110710
Guyana,2021-07-02,"Oxford/AstraZeneca, Sputnik V",https://www.facebook.com/mohguyana/posts/2636480556655474,346626,234255,112371
