location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Hong Kong,2021-02-22,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,47,47,0
Hong Kong,2021-02-23,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,579,579,0
Hong Kong,2021-02-24,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,579,579,0
Hong Kong,2021-02-25,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,579,579,0
Hong Kong,2021-02-26,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,6645,6645,0
Hong Kong,2021-02-27,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,13685,13685,0
Hong Kong,2021-02-28,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,20701,20701,0
Hong Kong,2021-03-01,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,27109,27109,0
Hong Kong,2021-03-02,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,40180,40180,0
Hong Kong,2021-03-03,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,51848,51846,2
Hong Kong,2021-03-04,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,62237,62235,2
Hong Kong,2021-03-05,Sinovac,https://www.covidvaccine.gov.hk/en/dashboard,72375,72373,2
Hong Kong,2021-03-06,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,84033,84030,3
Hong Kong,2021-03-07,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,93026,93022,4
Hong Kong,2021-03-08,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,103851,103847,4
Hong Kong,2021-03-09,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,113527,113522,5
Hong Kong,2021-03-10,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,130550,130544,6
Hong Kong,2021-03-11,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,145909,145903,6
Hong Kong,2021-03-12,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,162232,162226,6
Hong Kong,2021-03-13,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,177113,177106,7
Hong Kong,2021-03-14,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,190733,190726,7
Hong Kong,2021-03-15,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,206096,206089,7
Hong Kong,2021-03-16,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,229423,229416,7
Hong Kong,2021-03-17,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,254022,254015,7
Hong Kong,2021-03-18,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,276647,276640,7
Hong Kong,2021-03-19,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,304253,304246,7
Hong Kong,2021-03-20,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,330621,330614,7
Hong Kong,2021-03-21,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,354441,354434,7
Hong Kong,2021-03-22,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,379695,379645,50
Hong Kong,2021-03-23,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,403527,403082,445
Hong Kong,2021-03-24,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,413302,412825,477
Hong Kong,2021-03-25,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,421522,421017,505
Hong Kong,2021-03-26,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,435239,429536,5703
Hong Kong,2021-03-27,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,449279,437268,12011
Hong Kong,2021-03-28,"Pfizer/BioNTech, Sinovac",https://www.covidvaccine.gov.hk/en/dashboard,462453,443903,18550
