location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Malawi,2021-03-17,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1372230880853434376,5417,5417,0
Malawi,2021-03-18,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1372603080592752649,9091,9091,
Malawi,2021-03-19,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1372979737526730755,15326,15326,
Malawi,2021-03-21,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1373687642005643269,24550,24550,
Malawi,2021-03-22,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1374038361170661378,25589,25589,
Malawi,2021-03-23,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1374403679063744512,38804,38804,
Malawi,2021-03-24,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1374767106835816450,54637,54637,
Malawi,2021-03-26,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1375498870583652353,90107,90107,
Malawi,2021-03-27,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1375860681828892676,109526,109526,
Malawi,2021-03-28,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1376190751370059777,111592,111592,
Malawi,2021-03-30,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1376946329264480266,123097,123097,
Malawi,2021-03-31,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1377313801599614977,134289,134289,
Malawi,2021-04-01,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1377689378907160581,144979,144979,
Malawi,2021-04-02,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1378057215748276232,154801,154801,
Malawi,2021-04-04,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1378757146251304962,159574,159574,
Malawi,2021-04-05,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1379078759798734849,160445,160445,
Malawi,2021-04-06,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1379480548435955724,164733,164733,
Malawi,2021-04-09,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1380565672263045121,193627,193627,
Malawi,2021-04-10,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1380930584608931844,204258,204258,
Malawi,2021-04-11,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1381254742039527426,209353,209353,
Malawi,2021-04-12,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1381645926234738697,212615,212615,
Malawi,2021-04-13,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1382015390050611207,229220,229220,
Malawi,2021-04-14,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1382353127639252992,240744,240744,
Malawi,2021-04-16,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1383075260682137609,251368,251368,
Malawi,2021-04-18,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1383849958827118603,257754,257754,
Malawi,2021-04-19,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1384160357451669516,258107,258107,
Malawi,2021-04-20,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1384581605616930820,260614,260614,
Malawi,2021-04-21,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1384891657305346048,263931,263931,
Malawi,2021-04-22,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1385277422157934593,267293,267293,
Malawi,2021-04-26,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1386725181905850372,277442,277442,
Malawi,2021-04-27,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1387062346586247168,281049,281049,
Malawi,2021-04-28,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1387460710184202240,285824,285824,
Malawi,2021-04-29,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1387792596865634304,290344,290344,
Malawi,2021-04-30,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1388166647672881153,296127,296127,
Malawi,2021-05-06,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1390367363372040197,311751,311751,
Malawi,2021-05-08,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1391072628874620932,318138,318138,
Malawi,2021-05-09,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1391410496692264964,319323,319323,
Malawi,2021-05-10,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1391793909060227078,320300,320300,
Malawi,2021-05-13,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1392861109355487233,330348,330348,
Malawi,2021-05-15,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1393613994691284995,332955,332955,
Malawi,2021-05-17,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1394332709363888128,334363,334363,
Malawi,2021-05-18,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1394700515750076421,335232,335232,
Malawi,2021-05-19,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1395045221168205826,336826,336826,
Malawi,2021-05-20,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1395426039006957568,339481,339481,
Malawi,2021-05-21,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1395788999407673346,341698,341698,
Malawi,2021-05-22,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1396455197065494528,344394,344394,
Malawi,2021-05-23,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1396492019330162690,344647,344647,
Malawi,2021-05-25,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1397231307994841092,345806,345806,
Malawi,2021-05-26,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1397577949776334851,347638,347638,
Malawi,2021-05-28,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1398341783248150530,352607,352607,
Malawi,2021-05-29,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1398658155215732742,354777,354777,
Malawi,2021-05-30,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1399034478077546496,355093,355093,
Malawi,2021-05-31,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1399389623810506755,355118,355118,
Malawi,2021-06-01,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1399758336845926405,356134,356134,
Malawi,2021-06-02,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1400125342984118280,357015,357015,
Malawi,2021-06-03,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1400665680983232513,357650,357650,
Malawi,2021-06-06,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1401579518586937344,359008,358989,19
Malawi,2021-06-07,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1401976131394355203,359184,359165,19
Malawi,2021-06-09,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1402646498563837952,367356,365256,2100
Malawi,2021-06-10,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1403012944443625477,369674,366198,3476
Malawi,2021-06-11,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1403379258064576516,374268,368465,5803
Malawi,2021-06-12,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1403735291169550338,377614,370003,7611
Malawi,2021-06-14,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1404469185955180545,381257,371791,9466
Malawi,2021-06-15,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1404833821497958408,387363,373577,13786
Malawi,2021-06-16,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1405183246896349185,393313,375578,17735
Malawi,2021-06-17,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1405557018631495687,406167,378694,27473
Malawi,2021-06-18,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1405924995562360846,413961,380697,33264
Malawi,2021-06-19,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1406256759174533135,420685,383273,37412
Malawi,2021-06-21,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1407028047367258117,422508,383726,38782
Malawi,2021-06-22,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1407354583391875075,425051,384406,40645
Malawi,2021-06-23,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1407716764402728962,426356,384671,41685
Malawi,2021-06-24,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1408129326143397890,427440,385047,42393
Malawi,2021-06-25,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1408459031212171267,427730,385114,42616
Malawi,2021-06-26,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1408832225081184267,428321,385219,43102
Malawi,2021-06-27,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1409188324158365700,428391,385236,43155
Malawi,2021-06-28,Oxford/AstraZeneca,https://twitter.com/health_malawi/status/1409557597569568768,428407,385242,43165
