location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Malaysia,2021-02-24,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,60,60,0
Malaysia,2021-02-25,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,1213,1213,0
Malaysia,2021-02-26,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,5299,5299,0
Malaysia,2021-02-27,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,12011,12011,0
Malaysia,2021-02-28,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,18697,18694,3
Malaysia,2021-03-01,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,34058,34051,7
Malaysia,2021-03-02,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,55720,55709,11
Malaysia,2021-03-03,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,78361,78345,16
Malaysia,2021-03-04,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,97898,97872,26
Malaysia,2021-03-05,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,112028,112000,28
Malaysia,2021-03-06,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,127377,127348,29
Malaysia,2021-03-07,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,139728,139697,31
Malaysia,2021-03-08,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,166539,166505,34
Malaysia,2021-03-09,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,196276,196240,36
Malaysia,2021-03-10,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,224713,224676,37
Malaysia,2021-03-11,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,250857,250820,37
Malaysia,2021-03-12,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,276903,276865,38
Malaysia,2021-03-13,Pfizer/BioNTech,https://github.com/CITF-Malaysia/citf-public,293556,293518,38
