location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Mongolia,2021-02-22,Oxford/AstraZeneca,https://thediplomat.com/2021/02/mongolia-starts-its-covid-19-vaccinations/,0,,
Mongolia,2021-02-25,Oxford/AstraZeneca,https://ikon.mn/n/2527,3112,3112,
Mongolia,2021-02-26,Oxford/AstraZeneca,https://ikon.mn/n/253p,4926,4926,
Mongolia,2021-02-27,Oxford/AstraZeneca,https://ikon.mn/n/254x,6808,6808,
Mongolia,2021-03-02,Oxford/AstraZeneca,https://ikon.mn/n/257c,9531,9531,
Mongolia,2021-03-04,Oxford/AstraZeneca,https://ikon.mn/n/25ac,13200,13200,
Mongolia,2021-03-09,Oxford/AstraZeneca,https://ikon.mn/n/25g4,20976,20976,
Mongolia,2021-03-10,Oxford/AstraZeneca,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,30446,30446,
Mongolia,2021-03-11,Oxford/AstraZeneca,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,48265,48265,
Mongolia,2021-03-12,Oxford/AstraZeneca,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-12-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1105/,67489,67489,
Mongolia,2021-03-13,Oxford/AstraZeneca,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,84017,84017,
Mongolia,2021-03-14,Oxford/AstraZeneca,https://ikon.mn/,100000,100000,
Mongolia,2021-03-15,Oxford/AstraZeneca,https://ikon.mn/,118294,118294,
Mongolia,2021-03-16,Oxford/AstraZeneca,https://ikon.mn/,126449,126449,
Mongolia,2021-03-17,Oxford/AstraZeneca,https://ikon.mn/,139636,139636,
Mongolia,2021-03-18,Oxford/AstraZeneca,https://ikon.mn/,171535,171535,
Mongolia,2021-03-19,Oxford/AstraZeneca,https://ikon.mn/,189969,189969,
Mongolia,2021-03-20,Oxford/AstraZeneca,https://ikon.mn/,204121,204121,
Mongolia,2021-03-21,Oxford/AstraZeneca,https://ikon.mn/,209278,209278,
Mongolia,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://ikon.mn/,223444,223444,
Mongolia,2021-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://ikon.mn/,256979,256979,
Mongolia,2021-03-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",https://ikon.mn/,276068,276068,
Mongolia,2021-03-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://ikon.mn/,279069,279069,
Mongolia,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",https://ikon.mn/,290108,290108,
