location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Montserrat,2021-02-08,Oxford/AstraZeneca,https://www.gov.ms/2021/01/29/covid-19-vaccination-on-montserrat-to-begin-monday-february-8/,0,0,0
Montserrat,2021-02-23,Oxford/AstraZeneca,https://www.gov.ms/2021/02/25/vaccine-registration-to-close/,652,652,0
Montserrat,2021-03-10,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/photos/857893654769978,932,892,40
Montserrat,2021-03-17,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/863092317583445,1306,1112,194
Montserrat,2021-03-31,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/873534833205860,1542,1266,276
Montserrat,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/878147146077962,1751,1284,467
Montserrat,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/GIUMontserrat/posts/882138232345520,1909,1293,616
Montserrat,2021-05-21,Oxford/AstraZeneca,https://covid19.who.int/,2428,1342,1086
Montserrat,2021-05-28,Oxford/AstraZeneca,https://covid19.who.int/,2522,1358,1164
Montserrat,2021-06-11,Oxford/AstraZeneca,https://covid19.who.int/,2584,1389,1195
Montserrat,2021-06-18,Oxford/AstraZeneca,https://covid19.who.int/,2600,1394,1206
Montserrat,2021-06-25,Oxford/AstraZeneca,https://covid19.who.int/,2640,1411,1229
Montserrat,2021-07-02,Oxford/AstraZeneca,https://covid19.who.int/,2651,1418,1233
