location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Northern Cyprus,2021-01-14,"Pfizer/BioNTech, Sinovac",https://haberkibris.com/4968-kisiye-covid-19-asisi-yapildi-1200-2021-01-19.html,0,,
Northern Cyprus,2021-01-19,"Pfizer/BioNTech, Sinovac",https://haberkibris.com/4968-kisiye-covid-19-asisi-yapildi-1200-2021-01-19.html,4968,,
Northern Cyprus,2021-01-22,"Pfizer/BioNTech, Sinovac",https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/,11000,,
Northern Cyprus,2021-03-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,97969,53886,44083
Northern Cyprus,2021-04-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,104978,56516,48462
Northern Cyprus,2021-04-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,107365,58812,48553
Northern Cyprus,2021-04-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,109490,60642,48848
Northern Cyprus,2021-05-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,121841,71081,50760
Northern Cyprus,2021-05-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,122598,71737,50861
Northern Cyprus,2021-05-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,123791,72644,51147
Northern Cyprus,2021-05-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,124024,72783,51241
Northern Cyprus,2021-05-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,124752,73365,51387
Northern Cyprus,2021-05-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,125248,73814,51434
Northern Cyprus,2021-05-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,126668,74507,52161
Northern Cyprus,2021-05-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,126813,74533,52280
Northern Cyprus,2021-05-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,127608,74703,52905
Northern Cyprus,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://asibilgisistemi.com/,129743,75463,54280
