location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Paraguay,2021-02-21,Sputnik V,https://www.abc.com.py/nacionales/2021/02/25/llegan-a-1000-los-trabajadores-de-salud-que-recibieron-las-vacunas-anticovid/,0,0,0
Paraguay,2021-02-22,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,200,200,0
Paraguay,2021-02-23,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,545,545,0
Paraguay,2021-02-24,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1000,1000,0
Paraguay,2021-02-25,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1360,1360,0
Paraguay,2021-02-26,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1520,1520,0
Paraguay,2021-03-01,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1521,1521,0
Paraguay,2021-03-02,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1631,1631,0
Paraguay,2021-03-03,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1696,1696,0
Paraguay,2021-03-04,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1726,1726,0
Paraguay,2021-03-05,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1776,1776,0
Paraguay,2021-03-06,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1777,1777,0
Paraguay,2021-03-08,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1877,1877,0
Paraguay,2021-03-09,Sputnik V,https://www.vacunate.gov.py/index-listado-vacunados.html,1927,1927,0
Paraguay,2021-03-10,"Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,2888,2888,0
Paraguay,2021-03-11,"Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,4719,4719,0
Paraguay,2021-03-12,"Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,7857,7857,0
Paraguay,2021-03-13,"Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,9925,9925,0
Paraguay,2021-03-14,"Sinopharm/Beijing, Sinovac, Sputnik V",https://www.vacunate.gov.py/index-listado-vacunados.html,11660,11660,0
