location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Saudi Arabia,2021-01-06,Pfizer/BioNTech,https://covid19.moh.gov.sa/,137862,,
Saudi Arabia,2021-01-09,Pfizer/BioNTech,https://covid19.moh.gov.sa/,178338,,
Saudi Arabia,2021-01-16,Pfizer/BioNTech,https://covid19.moh.gov.sa/,295530,,
Saudi Arabia,2021-01-23,Pfizer/BioNTech,https://covid19.moh.gov.sa/,391643,,
Saudi Arabia,2021-01-30,Pfizer/BioNTech,https://covid19.moh.gov.sa/,440618,,
Saudi Arabia,2021-02-10,Pfizer/BioNTech,https://covid19.moh.gov.sa/,444465,,
Saudi Arabia,2021-02-13,Pfizer/BioNTech,https://covid19.moh.gov.sa/,446940,,
Saudi Arabia,2021-02-15,Pfizer/BioNTech,https://covid19.moh.gov.sa/,462812,,
Saudi Arabia,2021-02-17,Pfizer/BioNTech,https://covid19.moh.gov.sa/,501710,,
Saudi Arabia,2021-02-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,600798,,
Saudi Arabia,2021-02-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,639587,,
Saudi Arabia,2021-02-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,780667,,
Saudi Arabia,2021-03-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,885411,,
Saudi Arabia,2021-03-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1003287,,
Saudi Arabia,2021-03-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1182943,,
Saudi Arabia,2021-03-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1264878,,
Saudi Arabia,2021-03-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1332740,,
Saudi Arabia,2021-03-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1484935,,
Saudi Arabia,2021-03-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1585770,,
Saudi Arabia,2021-03-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1685881,,
Saudi Arabia,2021-03-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1823819,,
Saudi Arabia,2021-03-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,1938934,,
Saudi Arabia,2021-03-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2082780,,
Saudi Arabia,2021-03-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2232110,,
Saudi Arabia,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2394182,,
Saudi Arabia,2021-03-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2457425,,
Saudi Arabia,2021-03-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2580949,,
Saudi Arabia,2021-03-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2695966,,
Saudi Arabia,2021-03-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,2922436,,
Saudi Arabia,2021-03-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3006419,,
Saudi Arabia,2021-03-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3194715,,
Saudi Arabia,2021-03-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3343287,,
Saudi Arabia,2021-03-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3505695,,
Saudi Arabia,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3655546,,
Saudi Arabia,2021-03-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3810698,,
Saudi Arabia,2021-03-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,3895858,,
Saudi Arabia,2021-03-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4003477,,
Saudi Arabia,2021-03-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4132630,,
Saudi Arabia,2021-03-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4250055,,
Saudi Arabia,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4326576,,
Saudi Arabia,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4432572,,
Saudi Arabia,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4584006,,
Saudi Arabia,2021-04-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4729235,,
Saudi Arabia,2021-04-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,4877442,,
Saudi Arabia,2021-04-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,5000120,,
Saudi Arabia,2021-04-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,5118039,,
Saudi Arabia,2021-04-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,5345625,,
Saudi Arabia,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,5578229,,
Saudi Arabia,2021-04-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,5846745,,
Saudi Arabia,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,5989026,,
Saudi Arabia,2021-04-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6132124,,
Saudi Arabia,2021-04-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6287432,,
Saudi Arabia,2021-04-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6411162,,
Saudi Arabia,2021-04-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6527823,,
Saudi Arabia,2021-04-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6584000,,
Saudi Arabia,2021-04-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6723186,,
Saudi Arabia,2021-04-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6831440,,
Saudi Arabia,2021-04-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,6992242,,
Saudi Arabia,2021-04-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,7190402,,
Saudi Arabia,2021-04-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,7325016,,
Saudi Arabia,2021-04-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,7459261,,
Saudi Arabia,2021-04-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,7653634,,
Saudi Arabia,2021-04-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,7809612,,
Saudi Arabia,2021-04-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,7944950,,
Saudi Arabia,2021-04-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,8059757,,
Saudi Arabia,2021-04-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,8263836,,
Saudi Arabia,2021-04-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,8488862,,
Saudi Arabia,2021-04-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,8693407,,
Saudi Arabia,2021-04-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,8880219,,
Saudi Arabia,2021-04-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9032921,,
Saudi Arabia,2021-04-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9343991,,
Saudi Arabia,2021-05-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9488912,,
Saudi Arabia,2021-05-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9655519,,
Saudi Arabia,2021-05-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9772409,,
Saudi Arabia,2021-05-04,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9838285,,
Saudi Arabia,2021-05-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,9949971,,
Saudi Arabia,2021-05-06,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,10110907,,
Saudi Arabia,2021-05-07,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,10271299,,
Saudi Arabia,2021-05-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,10441854,,
Saudi Arabia,2021-05-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,10629320,,
Saudi Arabia,2021-05-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,10758710,,
Saudi Arabia,2021-05-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,10960820,,
Saudi Arabia,2021-05-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,11098788,,
Saudi Arabia,2021-05-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,11195164,,
Saudi Arabia,2021-05-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,11312391,,
Saudi Arabia,2021-05-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,11489358,,
Saudi Arabia,2021-05-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,11668767,,
Saudi Arabia,2021-05-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,11828549,,
Saudi Arabia,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,12020008,,
Saudi Arabia,2021-05-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,12225726,,
Saudi Arabia,2021-05-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,12436389,,
Saudi Arabia,2021-05-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,12616680,,
Saudi Arabia,2021-05-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,12791781,,
Saudi Arabia,2021-05-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,12882532,,
Saudi Arabia,2021-05-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,13013462,,
Saudi Arabia,2021-05-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,13183309,,
Saudi Arabia,2021-05-26,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,13401177,,
Saudi Arabia,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,13583574,,
Saudi Arabia,2021-05-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,13723119,,
Saudi Arabia,2021-05-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,13828247,,
Saudi Arabia,2021-05-30,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,14043763,,
Saudi Arabia,2021-05-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,14208292,,
Saudi Arabia,2021-06-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,14331774,,
Saudi Arabia,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,14512466,,
Saudi Arabia,2021-06-03,"Oxford/AstraZeneca, Pfizer/BioNTech",https://covid19.moh.gov.sa/,14629297,,
