location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Singapore,2021-01-11,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/covid-19-vaccination-centres-set-up-to-support-singapore's-vaccination-programme,3400,3400,0
Singapore,2021-01-12,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/covid-19-vaccination-centres-set-up-to-support-singapore's-vaccination-programme,6200,6200,0
Singapore,2021-01-22,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/tightening-safe-management-measures-and-update-on-vaccination-plans,60000,60000,0
Singapore,2021-01-27,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/update-on-covid-19-vaccination-programme,113050,113000,50
Singapore,2021-01-31,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/the-progress-of-our-covid-19-vaccination-programme-and-adverse-events,155050,155000,50
Singapore,2021-02-02,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/second-covid-19-vaccine-authorised-for-use-in-singapore,181000,175000,6000
Singapore,2021-02-10,Pfizer/BioNTech,https://www.pmo.gov.sg/Newsroom/Chinese-New-Year-Message-2021-by-PM-Lee-Hsien-Loong,256000,250000,6000
Singapore,2021-02-18,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/start-of-covid-19-vaccination-for-seniors,360000,250000,110000
Singapore,2021-03-01,Pfizer/BioNTech,https://www.moh.gov.sg/covid-19,525039,317715,207324
Singapore,2021-03-04,Pfizer/BioNTech,https://www.straitstimes.com/singapore/politics/budget-debate-more-than-350000-singapore-residents-have-received-their-first,565000,350000,215000
Singapore,2021-03-07,Pfizer/BioNTech,https://www.moh.gov.sg/news-highlights/details/covid-19-vaccination-brought-forward-for-all-seniors-extended-to-essential-services-personnel-and-higher-risk-groups,596000,379000,217000
Singapore,2021-03-08,Pfizer/BioNTech,https://www.moh.gov.sg/covid-19,611314,392620,218694
Singapore,2021-03-15,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,792423,549254,243169
Singapore,2021-03-22,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,1071908,771297,300611
Singapore,2021-03-23,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/news-highlights/details/expansion-of-vaccination-programme-further-easing-of-community-measures,1109000,799000,310000
Singapore,2021-03-29,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,1318912,943307,375605
Singapore,2021-04-03,"Moderna, Pfizer/BioNTech",https://www.straitstimes.com/singapore/those-aged-below-45-will-be-invited-to-book-covid-19-vaccination-appointments-from-june,1518000,1050000,468000
Singapore,2021-04-06,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,1667522,1131658,535864
Singapore,2021-04-18,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,2213888,1364124,849764
Singapore,2021-05-10,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,3137330,1852684,1284646
Singapore,2021-05-13,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/news-highlights/details/updates-on-local-situation-and-heightened-alert-to-minimise-transmission-14May,3200000,1900000,1300000
Singapore,2021-05-17,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,3407068,1966524,1440544
Singapore,2021-05-24,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,3728869,2112450,1616419
Singapore,2021-05-31,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,4047651,2281154,1766497
Singapore,2021-06-07,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,4392067,2503814,1888253
Singapore,2021-06-14,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,4691386,2700446,1990940
Singapore,2021-06-21,"Moderna, Pfizer/BioNTech",https://www.moh.gov.sg/covid-19,5029006,2971570,2057436
Singapore,2021-06-28,"Moderna, Pfizer/BioNTech, Sinovac",https://www.moh.gov.sg/covid-19,5365803,3271610,2094193
Singapore,2021-07-02,"Moderna, Pfizer/BioNTech, Sinovac",https://www.moh.gov.sg/covid-19,5551613,3426468,2125145
