location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Suriname,2021-02-22,Oxford/AstraZeneca,https://www.reuters.com/article/us-health-coronavirus-suriname-vaccine-idUSKBN2AN2AT,0,0,0
Suriname,2021-03-19,Oxford/AstraZeneca,https://laatjevaccineren.sr/,9196,9196,0
Suriname,2021-03-20,Oxford/AstraZeneca,https://laatjevaccineren.sr/,11879,11879,0
Suriname,2021-03-22,Oxford/AstraZeneca,https://laatjevaccineren.sr/,13749,13749,0
Suriname,2021-03-23,Oxford/AstraZeneca,https://laatjevaccineren.sr/,14716,14716,0
Suriname,2021-03-24,Oxford/AstraZeneca,https://laatjevaccineren.sr/,15998,15998,0
Suriname,2021-03-26,Oxford/AstraZeneca,https://laatjevaccineren.sr/,19983,19983,0
Suriname,2021-03-27,Oxford/AstraZeneca,https://laatjevaccineren.sr/,22377,22377,0
Suriname,2021-03-28,Oxford/AstraZeneca,https://laatjevaccineren.sr/,23304,23304,0
Suriname,2021-03-30,Oxford/AstraZeneca,https://laatjevaccineren.sr/,24528,24528,0
Suriname,2021-03-31,Oxford/AstraZeneca,https://laatjevaccineren.sr/,26057,26057,0
Suriname,2021-04-02,Oxford/AstraZeneca,https://laatjevaccineren.sr/,27760,27760,0
Suriname,2021-04-07,Oxford/AstraZeneca,https://laatjevaccineren.sr/,30037,30037,0
Suriname,2021-04-09,Oxford/AstraZeneca,https://laatjevaccineren.sr/,32614,32614,0
Suriname,2021-04-12,Oxford/AstraZeneca,https://laatjevaccineren.sr/,33038,33038,0
Suriname,2021-04-13,Oxford/AstraZeneca,https://laatjevaccineren.sr/,33640,33640,0
Suriname,2021-04-16,Oxford/AstraZeneca,https://laatjevaccineren.sr/,34630,34630,0
Suriname,2021-04-21,Oxford/AstraZeneca,https://laatjevaccineren.sr/,35424,35424,0
Suriname,2021-04-22,Oxford/AstraZeneca,https://laatjevaccineren.sr/,35777,35777,0
Suriname,2021-04-24,Oxford/AstraZeneca,https://laatjevaccineren.sr/,36503,36503,0
Suriname,2021-04-27,Oxford/AstraZeneca,https://laatjevaccineren.sr/,37158,37158,0
Suriname,2021-04-28,Oxford/AstraZeneca,https://laatjevaccineren.sr/,38351,38351,0
Suriname,2021-05-01,Oxford/AstraZeneca,https://laatjevaccineren.sr/,39953,39953,0
Suriname,2021-05-04,Oxford/AstraZeneca,https://laatjevaccineren.sr/,41287,41205,82
Suriname,2021-05-07,Oxford/AstraZeneca,https://laatjevaccineren.sr/,43888,43636,252
Suriname,2021-05-08,Oxford/AstraZeneca,https://laatjevaccineren.sr/,45420,44918,502
Suriname,2021-05-11,Oxford/AstraZeneca,https://laatjevaccineren.sr/,48185,47453,732
Suriname,2021-05-13,Oxford/AstraZeneca,https://laatjevaccineren.sr/,49902,48904,998
Suriname,2021-05-15,Oxford/AstraZeneca,https://laatjevaccineren.sr/,51573,49961,1612
Suriname,2021-05-17,Oxford/AstraZeneca,https://laatjevaccineren.sr/,54162,52109,2053
Suriname,2021-05-19,Oxford/AstraZeneca,https://laatjevaccineren.sr/,57362,54837,2525
Suriname,2021-05-20,Oxford/AstraZeneca,https://laatjevaccineren.sr/,64793,60319,4474
Suriname,2021-05-21,Oxford/AstraZeneca,https://laatjevaccineren.sr/,68301,62862,5439
Suriname,2021-05-23,Oxford/AstraZeneca,https://laatjevaccineren.sr/,74120,64866,9254
Suriname,2021-05-25,Oxford/AstraZeneca,https://laatjevaccineren.sr/,76462,65675,10787
Suriname,2021-05-26,Oxford/AstraZeneca,https://laatjevaccineren.sr/,78542,66623,11919
Suriname,2021-05-28,Oxford/AstraZeneca,https://laatjevaccineren.sr/,80716,67472,13244
Suriname,2021-05-29,Oxford/AstraZeneca,https://laatjevaccineren.sr/,82943,68441,14502
Suriname,2021-06-01,Oxford/AstraZeneca,https://laatjevaccineren.sr/,85174,69226,15948
Suriname,2021-06-02,Oxford/AstraZeneca,https://laatjevaccineren.sr/,87508,70336,17172
Suriname,2021-06-03,Oxford/AstraZeneca,https://laatjevaccineren.sr/,90052,71396,18656
Suriname,2021-06-05,Oxford/AstraZeneca,https://laatjevaccineren.sr/,96708,75013,21155
Suriname,2021-06-06,Oxford/AstraZeneca,https://laatjevaccineren.sr/,102612,80816,21256
Suriname,2021-06-07,Oxford/AstraZeneca,https://laatjevaccineren.sr/,108076,86640,21436
Suriname,2021-06-08,Oxford/AstraZeneca,https://laatjevaccineren.sr/,110393,88708,21658
Suriname,2021-06-09,Oxford/AstraZeneca,https://laatjevaccineren.sr/,112200,90029,22171
Suriname,2021-06-12,Oxford/AstraZeneca,https://laatjevaccineren.sr/,127078,101781,25297
Suriname,2021-06-13,Oxford/AstraZeneca,https://laatjevaccineren.sr/,136853,110920,25933
Suriname,2021-06-14,Oxford/AstraZeneca,https://laatjevaccineren.sr/,144415,118124,26291
Suriname,2021-06-15,Oxford/AstraZeneca,https://laatjevaccineren.sr/,146567,119956,26529
Suriname,2021-06-16,Oxford/AstraZeneca,https://laatjevaccineren.sr/,155669,127363,28306
Suriname,2021-06-18,Oxford/AstraZeneca,https://laatjevaccineren.sr/,165785,135354,30431
Suriname,2021-06-20,Oxford/AstraZeneca,https://laatjevaccineren.sr/,175694,144662,31032
Suriname,2021-06-21,Oxford/AstraZeneca,https://laatjevaccineren.sr/,177228,145832,31396
Suriname,2021-06-23,Oxford/AstraZeneca,https://laatjevaccineren.sr/,182331,149697,32634
Suriname,2021-06-24,Oxford/AstraZeneca,https://laatjevaccineren.sr/,184446,151208,33238
Suriname,2021-06-25,Oxford/AstraZeneca,https://laatjevaccineren.sr/,187306,153121,34185
Suriname,2021-06-27,Oxford/AstraZeneca,https://laatjevaccineren.sr/,191963,157459,34504
Suriname,2021-06-28,Oxford/AstraZeneca,https://laatjevaccineren.sr/,192975,157982,34993
Suriname,2021-06-30,Oxford/AstraZeneca,https://laatjevaccineren.sr/,196194,160268,35926
Suriname,2021-07-01,Oxford/AstraZeneca,https://laatjevaccineren.sr/,197723,161525,36198
Suriname,2021-07-02,Oxford/AstraZeneca,https://laatjevaccineren.sr/,199471,162516,36955
