location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Venezuela,2021-02-17,Sputnik V,https://www.france24.com/en/live-news/20210218-venezuela-kicks-off-covid-vaccine-program,0,0,
Venezuela,2021-02-22,Sputnik V,https://www.reuters.com/article/us-health-coronavirus-venezuela-vaccine/venezuela-inoculates-health-workers-in-caracas-hospital-idUSKBN2AM2FR,157,157,
Venezuela,2021-03-04,Sputnik V,https://www.semana.com/mundo/articulo/y-el-carvativir-venezuela-solo-ha-vacunado-a-unas-12000-personas-contra-el-coronavirus/202126/,12194,12194,
Venezuela,2021-03-26,Sputnik V,https://cronica.uno/cinco-semanas-de-vacunacion-contra-la-covid-19-transcurrieron-en-medio-de-gran-desinformacion/,14223,14223,
Venezuela,2021-04-02,Sputnik V,https://www.rfi.fr/es/am%C3%A9ricas/20210402-la-disputa-pol%C3%ADtica-entre-maduro-y-guaid%C3%B3-retrasa-la-vacunaci%C3%B3n-en-venezuela,98000,98000,
Venezuela,2021-04-12,Sputnik V,https://www.swissinfo.ch/spa/coronavirus-venezuela_la-vacunaci%C3%B3n-en-venezuela--entre-dudas-y-certezas/46524144,250000,250000,
Venezuela,2021-05-19,Sputnik V,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/,316000,316000,
Venezuela,2021-06-11,"Sputnik V, BBIBP-CorV",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,739962,588066,151896
Venezuela,2021-06-18,"Sputnik V, BBIBP-CorV",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1302992,1079134,223858
Venezuela,2021-06-25,"Sputnik V, BBIBP-CorV",https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,1466988,1223130,223858
